Order ID,Order Date,Customer Name,Region,Product Category,Product Name,Sales Amount,Quantity,Profit,Discount,Payment Mode
ORD-2021-02299,2024-08-29,Ronald Kelly,West,Furniture,Bookshelf 5-Tier,396.58,2,132.43,0.0,Credit Card
ORD-2024-01882,2022-03-16,Stephen Sanders,South,Electronics,Mechanical Keyboard,273.62,2,97.44,0.0,Credit Card
ORD-2024-00893,2021-04-24,Matthew Hill,West,Furniture,Bookshelf 5-Tier,444.6,2,157.1,0.0,Mobile Payment
ORD-2023-00354,2024-03-28,Ashley Martinez,West,Home & Kitchen,Microwave Oven 900W,342.08,2,116.8,0.0,Mobile Payment
ORD-2024-02158,2022-12-19,Kimberly Collins,South,Home & Kitchen,Air Fryer 5L,117.29,1,26.08,0.1,Mobile Payment
ORD-2022-02392,2021-09-22,Samuel Kelly,Central,Electronics,External SSD 1TB,135.88,1,24.94,0.1,Online Transfer
ORD-2023-00191,2024-09-17,Joshua Rogers,West,Sports,Basketball,88.12,2,39.93,0.0,Online Transfer
ORD-2022-02278,2022-01-04,Mary Price,Central,Electronics,Wireless Earbuds,54.22,1,5.57,0.3,Debit Card
ORD-2023-00137,2024-01-29,Christine Williams,West,Electronics,Wireless Earbuds,146.75,2,36.67,0.1,Debit Card
ORD-2024-02016,2024-06-29,Daniel Jenkins,South,Electronics,Bluetooth Speaker,115.93,1,20.23,0.1,Credit Card
ORD-2021-00201,2023-04-29,Nathan Kelly,West,Sports,Fitness Tracker Band,61.54,1,17.24,0.25,Credit Card
ORD-2023-00950,2022-08-04,Dennis Wilson,West,Furniture,Coffee Table,153.79,1,52.65,0.05,Mobile Payment
ORD-2021-00392,2022-02-11,Gregory Phillips,East,Furniture,Coffee Table,155.95,1,13.91,0.25,Online Transfer
ORD-2022-00847,2023-12-12,Jeffrey Campbell,South,Home & Kitchen,Blender 1000W,209.2,2,49.05,0.15,Credit Card
ORD-2023-00643,2023-04-15,Ryan Russell,South,Home & Kitchen,Blender 1000W,134.81,1,60.13,0.0,Debit Card
ORD-2022-02479,2023-01-26,Anna Butler,East,Furniture,Bookshelf 5-Tier,484.98,2,207.12,0.0,Cash
ORD-2021-01822,2023-08-30,Angela Price,East,Sports,Dumbbells Set 20kg,462.88,2,213.2,0.0,Cash
ORD-2024-01292,2022-05-25,Emily Parker,West,Home & Kitchen,Robot Vacuum,460.44,1,162.63,0.05,Cash
ORD-2023-02401,2023-10-30,Shirley Wilson,Central,Furniture,Office Desk - Wood,394.09,1,176.06,0.0,Credit Card
ORD-2021-00035,2024-01-14,Gary Jones,South,Electronics,USB-C Hub Adapter,59.07,1,4.61,0.2,Credit Card
ORD-2021-01924,2021-08-12,Angela Bell,South,Electronics,Wireless Earbuds,74.6,1,11.9,0.15,Credit Card
ORD-2022-01554,2021-05-06,Jonathan Nelson,Central,Clothing,Winter Jacket,180.59,2,64.95,0.25,Debit Card
ORD-2023-02394,2021-08-30,Henry White,West,Home & Kitchen,Throw Pillow Set,40.23,1,14.05,0.0,Credit Card
ORD-2022-01159,2022-10-01,Linda Barnes,South,Sports,Tennis Racket,111.43,1,37.63,0.15,Credit Card
ORD-2022-01971,2024-05-28,Matthew Cook,South,Furniture,Office Desk - Wood,875.43,2,337.67,0.1,Cash
ORD-2022-01407,2024-04-18,Jerry Henderson,East,Clothing,Wool Sweater,66.35,1,26.44,0.15,Debit Card
ORD-2022-02040,2021-02-03,Catherine Peterson,West,Clothing,Denim Jeans,61.24,1,25.72,0.1,Mobile Payment
ORD-2024-02148,2022-11-30,Stephen Myers,West,Electronics,Tablet 10 inch,461.12,1,131.24,0.1,Credit Card
ORD-2022-01204,2022-05-16,Emily Williams,West,Electronics,Portable Charger 20000mAh,61.34,1,19.09,0.1,Debit Card
ORD-2023-02106,2022-01-05,Pamela Gray,Central,Sports,Boxing Gloves,199.1,2,97.8,0.0,Debit Card
ORD-2024-00104,2023-01-05,Debra Young,East,Furniture,TV Stand 60 inch,475.8,3,90.83,0.2,Debit Card
ORD-2024-00794,2022-01-02,Elizabeth Kelly,West,Furniture,,452.41,1,139.56,0.0,Online Transfer
ORD-2021-00839,2024-03-28,Joyce Bailey,South,Home & Kitchen,Air Fryer 5L,270.31,2,113.32,0.05,Cash
ORD-2022-00036,2024-08-31,Maria Ortiz,South,Home & Kitchen,Toaster 4-Slice,49.84,1,16.08,0.15,Debit Card
ORD-2024-01631,2021-04-19,Douglas Martin,East,Furniture,Desk Lamp LED,54.88,1,16.45,0.15,Credit Card
ORD-2023-00495,2024-04-01,Stephanie Peterson,West,Sports,Tennis Racket,275.35,3,59.93,0.2,Cash
ORD-2024-00530,2021-07-23,Debra Chavez,East,Home & Kitchen,Food Processor,296.12,2,132.42,0.0,Debit Card
ORD-2022-01887,2022-06-30,Alexander Gomez,South,Electronics,Smart Watch,324.75,1,73.47,0.1,Credit Card
